question,option1,option2,option3,option4,correct_option
با مواد اولیه زعفران دم کرده، لپه پخته شده، سیب زمینی، کشمش پلویی چه غذایی می‌شود درست کرد؟,اش ماش,کوکوی رشته ختایی,مانی پلو غذای خوشمزه استان سمنان,◾🍲اش گوشت بوشهری نذری روز ۲۸ صفر🍲◾,3
با مواد اولیه روغن، پیاز، لیمو عمانی، گوشت خورشی گوسفندی چه غذایی می‌شود درست کرد؟,اش رشته ی اردبیلی,قیمه نثار قزوین,ریس کاکایویی,خورش تره کردی با تره کوهی,4
با مواد اولیه پودر گردو، سیب زمینی، تخم مرغ چه غذایی می‌شود درست کرد؟,کباب شامی لرستان,اش دندونی یا اش دونه,برساق (نان روغنی),اش هویج و جو همدانی🍂,1
با مواد اولیه رب انار، پیاز رنده شده، مغز گردوی چرخ شده چه غذایی می‌شود درست کرد؟,نان خمیر تره,خورش ترش کباب,شش انداز گیلانی,کباب ترش مخصوص,3
با مواد اولیه متوسط نمک، فلفل قرمز و سیاه، زردچوبه به مقدار لازم گرد لیمو، بلغور گندم، خورده برنج نخود عدس سبز و لوبیا سفید از هر کدام، گوشت گوسفندی چه غذایی می‌شود درست کرد؟,لوز زعفرانی,حلوا سوانی گروسی,اش ابادان,ته چین سنگسر سمنان,3
با مواد اولیه گوشت چرخ کرده، سیر، کدو سبز، روغن به میزان لازم چه غذایی می‌شود درست کرد؟,بورانی سنندج,حمیس چغندر,جوجوش. حلوای سنتی لرستان,گیپا یا دلمه سیرابی,1
با مواد اولیه شیر، زعفران دم شده (اختیاری)، زرده تخم مرغ، مایه خمیر چه غذایی می‌شود درست کرد؟,کله کنجی ایلام,که لانه,اش ترش با برنج نیم دانه,هواری میگو چکو,2
با مواد اولیه نعنا داغ، عدس، ترخینه، نخود چه غذایی می‌شود درست کرد؟,گرده زیرچاله,اش ترخینه,رشته پلو با قیسی اردبیلی,شله بریان زیره,2
با مواد اولیه اب یا دوغ، کره، گردوی خرد شده چه غذایی می‌شود درست کرد؟,کباب ترش,انار پلو شیرازی,دویماج,گیجاواش,3
با مواد اولیه کشک، یاز، سیر چه غذایی می‌شود درست کرد؟,مطبگ,پرورد دوغ,شورجه,اش بادمجان,4
با مواد اولیه روغن زیتون یا هر روغن گیاهی، نمک و فلفل به میزان نیاز، لیمو ترش، زعفران دم کرده چه غذایی می‌شود درست کرد؟,توتک یا همون نون کوهی امل,طرز تهیه قیمه خشک اردبیل,کتلت شیرازی,نان محلی گیلانی (کولبا),2
با مواد اولیه نمک، فلفل سیاه، فلفل قرمز، دارچین، کاری، پودر سیر، زردچوبه، پیاز، شکر چه غذایی می‌شود درست کرد؟,کلم پلو,زرشک پلو به سبک لرستان,اش سبزی شیرازی,لوبیا پلو ساده,2
با مواد اولیه فلفل سیاه، لوبیا چیتی، لوبیا سفید، نخود چه غذایی می‌شود درست کرد؟,نان چمچمو,اش گندم زنجان,نان سنتی تبریز,پرورد دوغ,2
با مواد اولیه زردچوبه، بلغور، پیاز متوسط، ابلیمو (یا سرکه) چه غذایی می‌شود درست کرد؟,یرکوکی خوروشی (خورش هویج),کلجوش دامغانی,برویشین ترش (بلغور ترش),خورش تابه ران (سیرداغ),3
با مواد اولیه نعنا خشک، نمک، فلفل، نعنا داغ، جو پوست کنده چه غذایی می‌شود درست کرد؟,اش جو ساوه 🌸,شلگه پلوی کوردی تزیین پلو به شکل گل,راحت الحلقوم,خاگینه دوشاب (قیقاناخ),1
با مواد اولیه مرغ، رب گوجه فرنگی، روغن برای سرخ کردن، زعفران دم کرده چه غذایی می‌شود درست کرد؟,قلیه دزفولی,اش دانه کولانه,قارنی یاریخ تبریزی,چغرتمه مرغ,4
با مواد اولیه انار دون خشک، بادمجون اناردونی مازندران، نمک، زردچوبه چه غذایی می‌شود درست کرد؟,قیسی پلو,یتیمچه بادمجان دامغانی,نان روغنی اصل کرمانشاه,بادمجون اناردونی مازندران,4
با مواد اولیه پودر شکر، گلاب، عسل، ارد سفید الک شده چه غذایی می‌شود درست کرد؟,پای توت فرنگی کرمدار,رشته خوشکار,کوکو لوبیا سبز تبریزی,قطاب سنتی خلخال,4
