index,سوال کامل,گزینه انتخابی مدل (بر اساس logprob),خروجی خام مدل (نمونه),پاسخ درست,عکس داشت؟,درست/نادرست
10,"با مواد اولیه شوید خردشده، برگ مو، غوره ریز چه غذایی میشود درست کرد؟
گزینه یک: دلمه برگ مو تبریزی
گزینه دو: فرنی ارد برنج (گیلانی)
گزینه سه: کوکوی هفت لشکر
گزینه چهار: ابگوشت کلم قمری",4,,1,False,False
11,"با مواد اولیه برنج، زردچوبه، شیر چه غذایی میشود درست کرد؟
گزینه یک: شربت رازیانه و هل
گزینه دو: شله عدسی
گزینه سه: نان محلی گیلانی (کولبا)
گزینه چهار: سوتی پلو اردبیلی برنج شیر پز",1,1,4,False,False
12,"با مواد اولیه رب انار، پیاز، تمر هندی (اختیاری)، نمک و فلفل چه غذایی میشود درست کرد؟
گزینه یک: حمیس توله (پنیرک)
گزینه دو: یخمه ترش
گزینه سه: اش گیلدیک
گزینه چهار: نان محلی برساق کردستان ۲",4,4,1,False,False
13,"با مواد اولیه شوید، گوشت چرخ کرده، نمک، فلفل سیاه و زردچوبه به میزان لازم چه غذایی میشود درست کرد؟
گزینه یک: کوکو شوید
گزینه دو: کیک یزدی حاج خلیفه
گزینه سه: کاچی سنندج
گزینه چهار: کماج کم شکر",4,4,1,False,False
14,"با مواد اولیه قیسی، پیاز ریزشده، زعفران در صورت تمایل به میزان لازم چه غذایی میشود درست کرد؟
گزینه یک: پوکورا بوشهری
گزینه دو: سوسه کباب سیکا
گزینه سه: شیرین قورمه
گزینه چهار: اشکنه اسفناج",1,1,3,False,False
15,"این تصویر مربوط به کدام غذاست؟
گزینه یک: ترشی قرمه
گزینه دو: نان زنجبیلی تبریز
گزینه سه: ساج کباب
گزینه چهار: برساق یا بژی",4,,4,True,True
16,"این تصویر مربوط به کدام غذاست؟
گزینه یک: خوراک مرغ ناردونی
گزینه دو: چکدرمه
گزینه سه: قیمه اردبیل
گزینه چهار: کوکو اشپل ماهی بدون برگ سیر",3,3,4,True,False
17,"این تصویر مربوط به کدام غذاست؟
گزینه یک: فالوده شیرازی
گزینه دو: کوکوی هفت لشکر
گزینه سه: خورشت دروغگو (گیلانی)
گزینه چهار: نان کپو (فارس) نان پیته (خوزستان)",1,,4,True,False
18,"این تصویر مربوط به کدام غذاست؟
گزینه یک: خورش نعنا جعفری
گزینه دو: بیج بیج مازندران
گزینه سه: حلوا اوماج یا حلوای دستپروش
گزینه چهار: گبولی گوشت",1,1,3,True,False
19,"این تصویر مربوط به کدام غذاست؟
گزینه یک: خورش ترش واش (ابکی)
گزینه دو: خورشت گوجه سبز
گزینه سه: رشتهپلو
گزینه چهار: کلوچه فومن (گیلان)",2,2,2,True,True
20,"این تصویر مربوط به کدام غذاست؟
گزینه یک: شامی رودباری
گزینه دو: سیر قلیه
گزینه سه: باقالا فسنجان
گزینه چهار: شامی کباب کرمانشاهی با سالاد شیرازی 😍😍😋😋😋😋😝",1,,4,True,False
21,"این تصویر مربوط به کدام غذاست؟
گزینه یک: انار پیاز
گزینه دو: کشک و بادمجان دامغانی
گزینه سه: قیسی پلو اذری
گزینه چهار: قیمه پلوی اردبیل",4,,4,True,True
22,"این تصویر مربوط به کدام غذاست؟
گزینه یک: کلانه
گزینه دو: خورشت کدو
گزینه سه: کباب ترش کردی
گزینه چهار: کیی ترشک یه غذای مورد علاقه مازنیها",1,1,1,True,True
23,"این تصویر مربوط به کدام غذاست؟
گزینه یک: انار پلو شیرازی
گزینه دو: زیبون
گزینه سه: خورشت ترشی گورما
گزینه چهار: اش غلغل",4,4,3,True,False
24,"این تصویر مربوط به کدام غذاست؟
گزینه یک: ترش تره
گزینه دو: کشک بادمجان
گزینه سه: ابگوشت باغی با گوشت گوسفند و عناب
گزینه چهار: کباب سرداشی همدان",4,4,4,True,True
25,"این تصویر مربوط به کدام غذاست؟
گزینه یک: ساج کباب
گزینه دو: شربت بهار نارنج
گزینه سه: مانی پلو غذای خوشمزه استان سمنان
گزینه چهار: اش مصطفی (اراکی)",1,1,1,True,True
26,"این تصویر مربوط به کدام غذاست؟
گزینه یک: خورش ترش کباب
گزینه دو: ماهی صبور خوزستان
گزینه سه: نان گرده
گزینه چهار: شکر پلو",1,1,1,True,True
27,"این تصویر مربوط به کدام غذاست؟
گزینه یک: ابگوشت بادمجان همدان
گزینه دو: اش کلم قمری تبریزی
گزینه سه: اش ماست تبریز
گزینه چهار: کشکو دامغانی",4,4,2,True,False
28,"این تصویر مربوط به کدام غذاست؟
گزینه یک: کماج بابل
گزینه دو: کشمش پلو
گزینه سه: ابگوشت کبوتر
گزینه چهار: کاچی (قیماق کرمانشاهی) با ارد گندم",1,1,4,True,False
29,"این تصویر مربوط به کدام غذاست؟
گزینه یک: انار اویج خورش
گزینه دو: ابگوشت یخنی نخود
گزینه سه: شیرینی بژی
گزینه چهار: خورش فسنجان با گوشت اردک",1,1,4,True,False
30,"این تصویر مربوط به کدام غذاست؟
گزینه یک: بورانی سنندج solmaz
گزینه دو: اش ترخینه
گزینه سه: قرابیه گردویی
گزینه چهار: اش دوغ",4,4,1,True,False
31,"این تصویر مربوط به کدام غذاست که در شهر شهرکرد استان چهارمحال و بختیاری که بهعنوان وعدهٔ غذای اصلی خورده میشود؟
گزینه یک: امگشت پلو
گزینه دو: ابگوشت کشک
گزینه سه: شوربای قیمه ریزه
گزینه چهار: خرما وروین (خرما با روغن حیوانی اصل کرمانشاه)",1,,3,True,False
32,"این تصویر مربوط به کدام غذاست که در شهر شیراز استان فارس که بهعنوان وعدهٔ ناهار خورده میشود؟
گزینه یک: ◾🍲اش گوشت بوشهری نذری روز ۲۸ صفر🍲◾
گزینه دو: اش کدو چهارمحال و بختیاری
گزینه سه: قیمه به
گزینه چهار: خورش نعنا جعفری",4,4,3,True,False
33,"این تصویر مربوط به کدام غذاست که در شهر سنندج استان کردستان که بهعنوان وعدهٔ شام خورده میشود؟
گزینه یک: نان نارگیلی تبریز
گزینه دو: مشکوفی با ارد برنج و نشاسته
گزینه سه: خورش شوید خولی
گزینه چهار: ترخینه، اش خوش مزه وپر خاصیت در فصل سرما",4,4,4,True,True
34,"این تصویر مربوط به کدام غذاست که در استان مازندران که بهعنوان وعدهٔ غذای اصلی خورده میشود؟
گزینه یک: جغور بغور با جگر سیاه گوسفندی
گزینه دو: کباب دیزی همدان
گزینه سه: مشکوفی قالبی
گزینه چهار: شکر پلو بوشهری",4,4,1,True,False
35,"این تصویر مربوط به کدام غذاست که در شهر رشت استان گیلان؟
گزینه یک: چکدرمه یا پلو گوشت ترکمنی
گزینه دو: اش بادمجان
گزینه سه: اش درشته دزفول
گزینه چهار: پلا کباب (محلی گیلان)",4,,4,True,True
36,"این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که بهعنوان وعدهٔ روزمره / خانوادگی خورده میشود؟
گزینه یک: کوفته قمی
گزینه دو: قورمه سبزی تبریز
گزینه سه: حلوای زعفرانی تبریز
گزینه چهار: اش دندونی تبریز",4,4,3,True,False
37,"این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که بهعنوان وعدهٔ روزمره / خانوادگی خورده میشود؟
گزینه یک: خلابی
گزینه دو: گیجاواش
گزینه سه: دسر کشک و لبو
گزینه چهار: شیله",4,4,4,True,True
38,"این تصویر مربوط به کدام غذاست که در شهر سنندج استان کردستان که بهعنوان وعدهٔ ناهار خورده میشود؟
گزینه یک: پلو ماش و قمری
گزینه دو: قطاب مازندران
گزینه سه: کوفته سماق کردی
گزینه چهار: اش رشته بابلی",4,4,3,True,False
39,"این تصویر مربوط به کدام غذاست که در شهر شیراز استان فارس؟
گزینه یک: مرغ مسمای شیرازی
گزینه دو: شیرینی اب دندون
گزینه سه: خورش ترش تره
گزینه چهار: اش شولی اصفهان",4,4,1,True,False
40,"این تصویر مربوط به کدام غذاست که در استان مازندران که بهعنوان وعدهٔ غذای اصلی خورده میشود؟
گزینه یک: ابگوشت سفید (ابگوشت ساوه)
گزینه دو: هلی دشکن هلی کتنی یا فکتنی شمالی
گزینه سه: اش اوماج
گزینه چهار: قورمه کدو سبز",4,4,4,True,True
41,"این تصویر مربوط به کدام غذاست که در شهر رشت استان گیلان که بهعنوان وعدهٔ روزمره / خانوادگی خورده میشود؟
گزینه یک: اش شله ماشکی
گزینه دو: قیمه رشتی
گزینه سه: کوفته تبریزی دستپخت مامان جون
گزینه چهار: کویی اش",1,,4,True,False
42,"این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که بهعنوان وعدهٔ دسر خورده میشود؟
گزینه یک: یتیمچه کدو
گزینه دو: نان خمیر تره
گزینه سه: اسفنا پهلو غذای مخصوص مازندران امل
گزینه چهار: حلوای ترح ترک تبریز",4,4,4,True,True
43,"این تصویر مربوط به کدام غذاست که در شهر Unknown استان unknown که بهعنوان وعدهٔ ناهار خورده میشود؟
گزینه یک: برنج سرخ کرده
گزینه دو: کاچی زرد (ساده)
گزینه سه: ساندویچ چغور پغور
گزینه چهار: حلوای خرما بوشهری",4,,3,True,False
44,"این تصویر مربوط به کدام غذاست که بهعنوان وعدهٔ شام خورده میشود؟
گزینه یک: اش ترخینه با مرغ دودی
گزینه دو: پیشمه یک نوع شیرینی ترکمنی
گزینه سه: کوفته سبزی شیرازی
گزینه چهار: کشک بادمجون کرمانشاهی",4,4,4,True,True
45,"این تصویر مربوط به کدام غذاست که در استان مازندران که بهعنوان وعدهٔ نان خورده میشود؟
گزینه یک: اش مصطفی (اراکی)
گزینه دو: نان کماج خرمایی
گزینه سه: تارت میرزا قاسمی
گزینه چهار: خورش الو",1,,2,True,False
46,"این تصویر مربوط به کدام غذاست که در شهر شیراز استان فارس که بهعنوان وعدهٔ ناهار خورده میشود؟
گزینه یک: باسترما پلو
گزینه دو: پلا کباب (محلی گیلان)
گزینه سه: اش عباسعلی
گزینه چهار: اش کارده فارس",4,4,4,True,True
47,"این تصویر مربوط به کدام غذاست که در شهر تبریز استان اذربایجان شرقی که بهعنوان وعدهٔ دسر خورده میشود؟
گزینه یک: نان اهری تبریز
گزینه دو: خورش کنگر
گزینه سه: خورش دختر لوس گیلان
گزینه چهار: شربت ابغوره",4,4,1,True,False
48,"این تصویر مربوط به کدام غذاست که در شهر قزوین استان قزوین که بهعنوان وعدهٔ شیرینی خورده میشود؟
گزینه یک: شیرینی نان چای قزوین
گزینه دو: خورش گل در چمن
گزینه سه: کماج کنجدی با فر دستساز
گزینه چهار: اش ترخینهساده",4,4,1,True,False
49,"این تصویر مربوط به کدام غذاست که در شهر اهواز استان خورستان که بهعنوان وعدهٔ غذای اصلی خورده میشود؟
گزینه یک: خورش مرغ ترش
گزینه دو: اش دوغ فارس
گزینه سه: دیشلیق
گزینه چهار: اش گوشت و بلغور (اندیمشک)",1,1,4,True,False
